대여소번호,count
3201,9562
1765,9556
4025,9548
962,9544
3764,9541
1148,9538
256,9515
2170,9514
3215,9507
1277,9497
2540,9489
2189,9485
204,9485
749,9478
185,9477
2066,9476
481,9470
1692,9458
427,9448
1520,9425
367,9422
1012,9401
223,9382
1027,9381
1059,9377
2651,9374
1937,9363
112,9360
949,9356
510,9354
3865,9349
817,9347
2902,9347
2713,9341
4812,9329
4508,9300
1214,9299
2709,9289
1681,9284
394,9284
663,9281
2373,9267
4169,9259
3212,9255
2604,9251
1749,9239
1987,9224
3587,9221
2742,9220
3671,9219
1726,9218
1456,9204
1461,9198
3420,9195
736,9186
1540,9185
4036,9170
1265,9170
4464,9168
4708,9158
2431,9150
3120,9149
737,9147
1035,9146
2917,9128
122,9103
1697,9100
1413,9100
2722,9096
711,9095
1557,9092
1964,9084
1382,9080
544,9080
3205,9080
242,9074
3868,9064
354,9043
121,9036
1913,9023
3206,9010
348,9009
2202,9001
3405,8987
4711,8984
3121,8982
752,8982
4652,8976
774,8975
170,8951
579,8941
1627,8939
355,8931
191,8928
2633,8922
932,8919
495,8918
1682,8916
145,8914
2531,8903
1700,8903
2164,8891
1361,8884
2332,8884
4629,8874
1074,8862
241,8859
4113,8857
2725,8831
661,8827
1930,8823
972,8822
2034,8795
2404,8795
2901,8794
1165,8780
235,8776
238,8753
356,8743
4024,8740
762,8738
1368,8712
4020,8711
3408,8711
4791,8706
3417,8702
4019,8685
550,8679
4713,8670
2091,8660
3803,8657
3552,8650
453,8647
846,8645
2085,8644
1651,8644
673,8643
3881,8635
289,8629
3102,8620
2077,8596
622,8590
344,8590
1640,8577
2327,8571
118,8568
4018,8567
1408,8557
3657,8550
1560,8549
2911,8543
637,8535
1953,8534
515,8524
1848,8524
2414,8523
4028,8513
2523,8511
270,8508
2631,8507
4102,8505
835,8498
1744,8492
2511,8492
4564,8491
1630,8483
4553,8478
2504,8463
359,8460
4657,8446
4557,8446
2656,8418
3103,8405
3782,8384
358,8379
709,8343
1709,8338
2355,8333
1685,8331
2617,8324
4037,8313
4527,8303
234,8301
3785,8294
1407,8292
2090,8290
2276,8283
3528,8273
1286,8260
2242,8260
4004,8259
4510,8253
1136,8244
401,8234
839,8232
445,8229
4496,8220
457,8218
1014,8210
2302,8204
4460,8202
180,8201
2423,8190
2904,8189
777,8185
4117,8181
150,8167
2324,8162
440,8150
2213,8146
2333,8140
4619,8138
2174,8133
4522,8131
1110,8127
4491,8127
1429,8123
3101,8122
985,8118
1228,8112
4575,8110
1178,8109
1339,8098
538,8080
2191,8073
1564,8058
1479,8058
134,8056
1072,8056
1036,8054
1206,8045
1722,8037
